Vault Name,Block Number,Vault Asset,Price per Share,Total Assets in Vault,Total Shares of Vault
DAI yVault,37793476,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x637eC617c86D24E421328e6CAEa1d92114892439,1072868774556738094,39265822789889342850167234,36598895134104350985271382
WFTM yVault,37793476,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x0DEC85e74A92c52b7F708c4B10207D9560CEFaf0,1921159504998904423,68018650707337140362945306,35404999184269152733669022
USDC yVault,37793476,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xEF0210eB96c7EB36AF8ed1c20306462764935607,1041255,31431044752085,30185725779219
Curve Geist Pool yVault,37793476,0xD02a30d33153877BC20e5721ee53DeDEE0422B2F,0xF137D22d7B23eeB1950B3e19d1f578c053ed9715,1008106894065134759,5548970864894111230273834,5504347701182952990891822
WETH yVault,37793476,0x74b23882a30290451A17c44f4F05243b6b58C76d,0xCe2Fc0bDc18BD6a4d9A725791A3DEe33F3a23BB7,1008079153185520699,2500352307314245455431,2480313474803199272860
USDT yVault,37793476,0x049d68029688eAbF473097a2fC38ef61633A3C7A,0x148c05caf1Bb09B5670f00D511718f733C54bC4c,1019152,2634363886402,2584857714383
YFI yVault,37793476,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,0x2C850cceD00ce2b14AA9D658b7Cad5dF659493Db,1044726929357873583,324506791748634348811,310613982113094176818
BOO yVault,37793476,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,0x0fBbf9848D969776a5Eb842EdAfAf29ef4467698,1160543723368281591,181913086024635462745417,156714995700980586250629
MIM yVault,37793476,0x82f0B8B456c1A451378467398982d4834b6829c1,0x0A0b23D9786963DE69CB2447dC125c49929419d8,1056454601157336860,2797400063362752368143341,2647913180839219063779750
Curve Tricrypto Pool yVault,37793476,0x58e57cA18B7A47112b877E31929798Cd3D703b0f,0xCbCaF8cB8cbeAFA927ECEE0c5C56560F83E9B7D9,1025506026118983852,944018091205761165717,920538804416768890629
LINK yVault,37793476,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,0xf2d323621785A066E64282d2B407eAc79cC04966,1007963965855195672,101419685550224172757793,100618364332276286300794
FRAX yVault,37793476,0xdc301622e621166BD8E82f2cA0A26c13Ad0BE355,0x357ca46da26E1EefC195287ce9D838A6D5023ef3,1013122021999849131,2449698534316287856841567,2417969880351344935172535
fBEETS yVault,37793476,0xfcef8a994209d6916EB2C86cDD2AFD60Aa6F54b1,0x1e2fe8074a5ce1Bb7394856B0C618E75D823B93b,1044721705434322424,886335276765613016278901,848393665179126935889069
Curve MIM Pool Vault,37793476,0x2dd7C9371965472E5A5fD28fbE165007c61439E1,0xA97E7dA01C7047D6a65f894c99bE8c832227a8BC,1003515773610949333,2981655676854795220926,2971209576632670138780
